COD_ART;NOMBRE;Cj/H;Disponible;Calidad;Stock Externo;M_Vta -15;M_Vta -15 AA;H;CJ;Cob;Línea;DIA;STOCK_TOTAL;DIAS_COBERTURA;DEMANDA_PREDICHA;CAJAS_PRODUCIR;HORAS_PRODUCCION
436011;Rombito Rústico;1;134;0;0;0;0;;;;;;134;134;9.635255394838696e-14;0.0;0.0
436701;Mollete Multicereal con Quinoa (3%);1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
438801;Panecillo con Semillas;1;139;0;0;196;28;;;;;;139;11;195.99999999999977;2.0;2.0
453211;Panecillo 100% Integral;1;109;0;0;0;0;;;;;;109;109;9.560964381786943e-14;0.0;0.0
453221;Panecillo 100% Integral;1;109;0;0;0;0;;;;;;109;109;9.560964381786943e-14;0.0;0.0
453233;Panecillo 100% Integral;1;114;0;0;0;1;;;;;;114;114;9.557223464433165e-14;0.0;0.0
453241;Panecillo 100% Integral;1;114;0;0;224;0;;;;;;114;8;223.99999999999974;2.0;2.0
453243;Panecillo 100% Integral;1;124;0;0;0;280;;;;;;124;124;4.3977853996616854e-14;0.0;0.0
453251;Panecillo 100% Integral;1;119;0;0;0;476;;;;;;119;119;7.374996840819179e-15;0.0;0.0
454001;Panecillo 100% Integral;1;99;0;0;0;0;;;;;;99;99;9.531247976566243e-14;0.0;0.0
5718540;Panecillo con  Semillas;1;139;0;0;2604;280;;;;;;139;1;2603.999999999996;2.0;2.0
5718619;Pulguita;1;161;0;0;868;364;;;;;;161;3;867.9999999999987;2.0;2.0
5720811;Baguetina Cereales;1;108;0;0;419;0;;;;;;108;4;418.9999999999995;2.0;2.0
604301;Pepito Easy Pack 5 uds;1;167;0;0;0;0;;;;;;167;167;9.73331953206701e-14;0.0;0.0
Total general;;1;0;0;0;0;1;;;;;;0;0;9.218456444917172e-14;2.0;2.0
274756;PAN PEPITO;1;161;0;0;0;0;;;;;;161;161;9.715489688934589e-14;0.0;0.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;1;206;0;0;0;0;;;;;;206;206;9.849213512427743e-14;0.0;0.0
400121;Miniatura;1;197;0;0;0;12;;;;;;197;197;9.599279308159557e-14;0.0;0.0
400221;Pepito;1;155;0;0;0;0;;;;;;155;155;9.697659845802168e-14;0.0;0.0
400231;Pepito;1;161;0;0;0;10;;;;;;161;161;9.529498489293292e-14;0.0;0.0
400233;Pepito;1;161;0;0;0;352;;;;;;161;161;3.168599461560942e-14;0.0;0.0
401111;Bocata;1;225;0;0;0;365;;;;;;225;225;3.1169958954397436e-14;0.0;0.0
401113;Bocata;1;225;0;0;0;288;;;;;;225;225;4.549128132677728e-14;0.0;0.0
401301;Baguette Plus;1;161;0;0;0;5;;;;;;161;161;9.622494089113941e-14;0.0;0.0
401421;Barra Castellana;1;138;0;0;0;0;;;;;;138;138;9.647141956926977e-14;0.0;0.0
401423;Barra Castellana;1;121;0;0;0;96;;;;;;121;121;7.811108551495336e-14;0.0;0.0
401621;Media Baguette;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
401881;Bollo;1;206;0;0;0;3;;;;;;206;206;9.793416152535354e-14;0.0;0.0
402011;Viena Mondat 145 gr;1;247;0;0;0;562;;;;;;247;247;0.0;0.0;0.0
402801;Viena;1;225;0;0;0;0;;;;;;225;225;9.905674682347076e-14;0.0;0.0
403321;Barra de Viena;1;197;0;0;0;0;;;;;;197;197;9.822468747729112e-14;0.0;0.0
403341;Barra de Viena;1;243;0;0;0;12;;;;;;243;243;9.735974772174782e-14;0.0;0.0
403801;Mini Viena Andaluza;1;206;0;0;0;30;;;;;;206;206;9.291239913503853e-14;0.0;0.0
404903;Viena 170g;1;187;0;0;0;128;;;;;;187;187;7.412064987099813e-14;0.0;0.0
405121;Miniatura con Salvado;1;197;0;0;0;4;;;;;;197;197;9.748072267872594e-14;0.0;0.0
405621;Media Baguette con Salvado;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
406002;Panecito Integral 100% Ecológico Easy;1;137;0;0;0;21;;;;;;137;137;9.253588797158183e-14;0.0;0.0
406301;Viena Mondat con Salvado 145 gr;1;225;0;0;0;64;;;;;;225;225;8.715331004642776e-14;0.0;0.0
406401;Viena con Salvado Pequeña;1;206;0;0;0;90;;;;;;206;206;8.175292715656072e-14;0.0;0.0
406501;Bollo 100 % Integral;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
407401;Bollo Rústico Semillado;1;131;0;0;0;0;;;;;;131;131;9.626340473272486e-14;0.0;0.0
407411;Bollo Rústico Semillado;1;131;0;0;0;2;;;;;;131;131;9.589142233344227e-14;0.0;0.0
411001;Chapata Mini;1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
421702;Barra de Viena Ecológica Easy;1;181;0;0;0;0;;;;;;181;181;9.774922499375992e-14;0.0;0.0
421802;Bollo Ecológico Easy;1;164;0;0;0;0;;;;;;164;164;9.724404610500799e-14;0.0;0.0
422002;Barra de Viena 15%  Integral  Ecológico Easy;1;180;0;0;0;0;;;;;;180;180;9.771950858853921e-14;0.0;0.0
423111;Panecillo con Cereales y Semillas;1;156;0;0;0;12;;;;;;156;156;9.477442046754682e-14;0.0;0.0
423301;Mollete Pack 4 UDS;1;168;0;0;0;28;;;;;;168;168;9.215515813593449e-14;0.0;0.0
423321;Mollete;1;156;0;0;0;453;;;;;;156;156;1.2752301425734945e-14;0.0;0.0
423611;Alcachofa Semillada con Sésamo 4,35%;1;193;0;0;0;0;;;;;;193;193;9.810582185640832e-14;0.0;0.0
425351;Payesito Mondat;1;193;0;0;0;31;;;;;;193;193;9.234009466752812e-14;0.0;0.0
430101;Pan Bocadillo Sin Sal Añadida Easy;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
430301;Panecillo Semillas Easy;1;128;0;0;0;0;;;;;;128;128;9.617425551706276e-14;0.0;0.0
430401;Mini Panecillo Easy;1;135;0;0;0;1123;;;;;;135;135;0.0;0.0;0.0
430621;Pepito Easy;1;167;0;0;0;265;;;;;;167;167;4.8045527415726445e-14;0.0;0.0
430702;Panecito Ecológico Easy;1;159;0;0;0;219;;;;;;159;159;5.6363391357460493e-14;0.0;0.0
430731;Panecito Easy;1;159;0;0;0;76;;;;;;159;159;8.296013290616593e-14;0.0;0.0
431610;Bollito 100% Integral Easy Pack 8 unidades;1;137;0;0;0;87;;;;;;137;137;8.026046879525625e-14;0.0;0.0
432111;Pepito Sin Sal Añadida Easy;1;167;0;0;0;0;;;;;;167;167;9.73331953206701e-14;0.0;0.0
432211;Pepito con Salvado Easy;1;167;0;0;0;8;;;;;;167;167;9.584526572353972e-14;0.0;0.0
432311;Pepito con Salvado Sin Sal Añadida Easy;1;167;0;0;56;0;;;;;;167;45;56.000000000000014;2.0;2.0
432421;Bollo Easy;1;150;0;0;0;4;;;;;;150;150;9.6084051633353e-14;0.0;0.0
432501;Pan Bocadillo con Salvado Easy;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
432821;Pan Bocadillo Easy;1;170;0;0;0;1;;;;;;170;170;9.72363533366909e-14;0.0;0.0
432911;Panecito con Salvado Easy;1;159;0;0;0;12;;;;;;159;159;9.486356968320892e-14;0.0;0.0
433701;Bollito Easy Pack de 8 Uds;1;134;0;0;0;0;;;;;;134;134;9.635255394838696e-14;0.0;0.0
434011;Panecito Sin Sal Añadida Easy;1;159;0;0;0;0;;;;;;159;159;9.709546407890449e-14;0.0;0.0
434111;Panecito con Salvado Sin Sal Añadida Easy;1;159;0;0;392;0;;;;;;159;7;391.9999999999995;2.0;2.0
434201;Viena Easy;1;186;0;0;0;125;;;;;;186;186;7.464890706470131e-14;0.0;0.0
434721;Bollito Easy;1;135;0;0;0;145;;;;;;135;135;6.941354640561963e-14;0.0;0.0
435711;Rombito Integral 100%;1;123;0;0;0;4;;;;;;123;123;9.528170869239407e-14;0.0;0.0
436001;Rombito Rústico;1;268;0;0;0;0;;;;;;268;268;1.003345522479609e-13;0.0;0.0
436011;Rombito Rústico;1;134;0;0;0;0;;;;;;134;134;9.635255394838696e-14;0.0;0.0
436701;Mollete Multicereal con Quinoa (3%);1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
438801;Panecillo con Semillas;1;139;0;0;196;28;;;;;;139;11;195.99999999999977;2.0;2.0
453211;Panecillo 100% Integral;1;109;0;0;0;0;;;;;;109;109;9.560964381786943e-14;0.0;0.0
453221;Panecillo 100% Integral;1;109;0;0;0;0;;;;;;109;109;9.560964381786943e-14;0.0;0.0
453233;Panecillo 100% Integral;1;114;0;0;0;0;;;;;;114;114;9.575822584397295e-14;0.0;0.0
453241;Panecillo 100% Integral;1;114;0;0;224;0;;;;;;114;8;223.99999999999974;2.0;2.0
453243;Panecillo 100% Integral;1;124;0;0;0;280;;;;;;124;124;4.3977853996616854e-14;0.0;0.0
453251;Panecillo 100% Integral;1;119;0;0;0;196;;;;;;119;119;5.945253274038227e-14;0.0;0.0
454001;Panecillo 100% Integral;1;99;0;0;0;0;;;;;;99;99;9.531247976566243e-14;0.0;0.0
5718540;Panecillo con  Semillas;1;139;0;0;2156;280;;;;;;139;1;2155.999999999997;2.0;2.0
5718619;Pulguita;1;161;0;0;392;0;;;;;;161;7;391.9999999999995;2.0;2.0
5720811;Baguetina Cereales;1;108;0;0;1316;0;;;;;;108;2;1315.999999999998;2.0;2.0
604301;Pepito Easy Pack 5 uds;1;167;0;0;0;2;;;;;;167;167;9.69612129213875e-14;0.0;0.0
Total general;;1;0;0;0;0;1;;;;;;0;0;9.218456444917172e-14;2.0;2.0
274756;PAN PEPITO;1;161;0;0;0;0;;;;;;161;161;9.715489688934589e-14;0.0;0.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;1;206;0;0;0;0;;;;;;206;206;9.849213512427743e-14;0.0;0.0
400121;Miniatura;1;197;0;0;0;1;;;;;;197;197;9.803869627764983e-14;0.0;0.0
400221;Pepito;1;155;0;0;0;0;;;;;;155;155;9.697659845802168e-14;0.0;0.0
400231;Pepito;1;161;0;0;0;2;;;;;;161;161;9.67829144900633e-14;0.0;0.0
400233;Pepito;1;161;0;0;0;352;;;;;;161;161;3.168599461560942e-14;0.0;0.0
401111;Bocata;1;225;0;0;0;4;;;;;;225;225;9.831278202490557e-14;0.0;0.0
401113;Bocata;1;225;0;0;0;288;;;;;;225;225;4.549128132677728e-14;0.0;0.0
401301;Baguette Plus;1;161;0;0;0;2;;;;;;161;161;9.67829144900633e-14;0.0;0.0
401421;Barra Castellana;1;138;0;0;0;0;;;;;;138;138;9.647141956926977e-14;0.0;0.0
401423;Barra Castellana;1;121;0;0;0;96;;;;;;121;121;7.811108551495336e-14;0.0;0.0
401621;Media Baguette;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
401881;Bollo;1;206;0;0;0;3;;;;;;206;206;9.793416152535354e-14;0.0;0.0
402011;Viena Mondat 145 gr;1;247;0;0;0;232;;;;;;247;247;5.656054942154532e-14;0.0;0.0
402801;Viena;1;225;0;0;0;0;;;;;;225;225;9.905674682347076e-14;0.0;0.0
403321;Barra de Viena;1;197;0;0;0;0;;;;;;197;197;9.822468747729112e-14;0.0;0.0
403341;Barra de Viena;1;243;0;0;0;2;;;;;;243;243;9.921965971816078e-14;0.0;0.0
403801;Mini Viena Andaluza;1;206;0;0;0;1;;;;;;206;206;9.830614392463614e-14;0.0;0.0
404903;Viena 170g;1;187;0;0;0;128;;;;;;187;187;7.412064987099813e-14;0.0;0.0
405121;Miniatura con Salvado;1;197;0;0;0;0;;;;;;197;197;9.822468747729112e-14;0.0;0.0
405621;Media Baguette con Salvado;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
406002;Panecito Integral 100% Ecológico Easy;1;137;0;0;0;21;;;;;;137;137;9.253588797158183e-14;0.0;0.0
406301;Viena Mondat con Salvado 145 gr;1;225;0;0;0;2;;;;;;225;225;9.868476442418816e-14;0.0;0.0
406401;Viena con Salvado Pequeña;1;206;0;0;0;1;;;;;;206;206;9.830614392463614e-14;0.0;0.0
406501;Bollo 100 % Integral;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
407401;Bollo Rústico Semillado;1;131;0;0;0;0;;;;;;131;131;9.626340473272486e-14;0.0;0.0
407411;Bollo Rústico Semillado;1;131;0;0;0;3;;;;;;131;131;9.570543113380097e-14;0.0;0.0
411001;Chapata Mini;1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
421702;Barra de Viena Ecológica Easy;1;181;0;0;0;0;;;;;;181;181;9.774922499375992e-14;0.0;0.0
421802;Bollo Ecológico Easy;1;164;0;0;0;0;;;;;;164;164;9.724404610500799e-14;0.0;0.0
422002;Barra de Viena 15%  Integral  Ecológico Easy;1;180;0;0;0;0;;;;;;180;180;9.771950858853921e-14;0.0;0.0
423111;Panecillo con Cereales y Semillas;1;156;0;0;0;5;;;;;;156;156;9.607635886503591e-14;0.0;0.0
423301;Mollete Pack 4 UDS;1;168;0;0;0;0;;;;;;168;168;9.73629117258908e-14;0.0;0.0
423321;Mollete;1;156;0;0;0;449;;;;;;156;156;1.3496266224300137e-14;0.0;0.0
423611;Alcachofa Semillada con Sésamo 4,35%;1;193;0;0;0;3;;;;;;193;193;9.754784825748443e-14;0.0;0.0
425351;Payesito Mondat;1;193;0;0;0;33;;;;;;193;193;9.196811226824553e-14;0.0;0.0
430101;Pan Bocadillo Sin Sal Añadida Easy;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
430301;Panecillo Semillas Easy;1;128;0;0;0;0;;;;;;128;128;9.617425551706276e-14;0.0;0.0
430401;Mini Panecillo Easy;1;135;0;0;0;1120;;;;;;135;135;0.0;0.0;0.0
430621;Pepito Easy;1;167;0;0;0;781;;;;;;167;167;0.0;0.0;0.0
430702;Panecito Ecológico Easy;1;159;0;0;0;219;;;;;;159;159;5.6363391357460493e-14;0.0;0.0
430731;Panecito Easy;1;159;0;0;0;85;;;;;;159;159;8.128621210939426e-14;0.0;0.0
431610;Bollito 100% Integral Easy Pack 8 unidades;1;137;0;0;0;0;;;;;;137;137;9.644170316404906e-14;0.0;0.0
432111;Pepito Sin Sal Añadida Easy;1;167;0;0;0;0;;;;;;167;167;9.73331953206701e-14;0.0;0.0
432211;Pepito con Salvado Easy;1;167;0;0;0;216;;;;;;167;167;5.715909619814999e-14;0.0;0.0
432311;Pepito con Salvado Sin Sal Añadida Easy;1;167;0;0;0;0;;;;;;167;167;9.73331953206701e-14;0.0;0.0
432421;Bollo Easy;1;150;0;0;0;28;;;;;;150;150;9.162026284196187e-14;0.0;0.0
432501;Pan Bocadillo con Salvado Easy;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
432821;Pan Bocadillo Easy;1;170;0;0;0;1;;;;;;170;170;9.72363533366909e-14;0.0;0.0
432911;Panecito con Salvado Easy;1;159;0;0;0;14;;;;;;159;159;9.449158728392633e-14;0.0;0.0
433701;Bollito Easy Pack de 8 Uds;1;134;0;0;0;0;;;;;;134;134;9.635255394838696e-14;0.0;0.0
434011;Panecito Sin Sal Añadida Easy;1;159;0;0;0;0;;;;;;159;159;9.709546407890449e-14;0.0;0.0
434111;Panecito con Salvado Sin Sal Añadida Easy;1;159;0;0;392;0;;;;;;159;7;391.9999999999995;2.0;2.0
434201;Viena Easy;1;186;0;0;0;142;;;;;;186;186;7.148705667079927e-14;0.0;0.0
434721;Bollito Easy;1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
435711;Rombito Integral 100%;1;123;0;0;0;3;;;;;;123;123;9.546769989203535e-14;0.0;0.0
436011;Rombito Rústico;1;134;0;0;0;0;;;;;;134;134;9.635255394838696e-14;0.0;0.0
436701;Mollete Multicereal con Quinoa (3%);1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
438801;Panecillo con Semillas;1;139;0;0;196;28;;;;;;139;11;195.99999999999977;2.0;2.0
453211;Panecillo 100% Integral;1;109;0;0;0;0;;;;;;109;109;9.560964381786943e-14;0.0;0.0
453221;Panecillo 100% Integral;1;109;0;0;0;0;;;;;;109;109;9.560964381786943e-14;0.0;0.0
453233;Panecillo 100% Integral;1;114;0;0;0;0;;;;;;114;114;9.575822584397295e-14;0.0;0.0
453241;Panecillo 100% Integral;1;114;0;0;196;0;;;;;;114;9;195.99999999999977;2.0;2.0
453243;Panecillo 100% Integral;1;124;0;0;0;280;;;;;;124;124;4.3977853996616854e-14;0.0;0.0
453251;Panecillo 100% Integral;1;119;0;0;0;532;;;;;;119;119;0.0;0.0;0.0
454001;Panecillo 100% Integral;1;99;0;0;0;0;;;;;;99;99;9.531247976566243e-14;0.0;0.0
5718540;Panecillo con  Semillas;1;139;0;0;1820;700;;;;;;139;2;1819.999999999997;2.0;2.0
5718619;Pulguita;1;161;0;0;28;0;;;;;;161;87;28.000000000000053;0.0;0.0
5720811;Baguetina Cereales;1;108;0;0;532;280;;;;;;108;4;531.9999999999992;2.0;2.0
604301;Pepito Easy Pack 5 uds;1;167;0;0;0;0;;;;;;167;167;9.73331953206701e-14;0.0;0.0
Total general;;1;0;0;0;0;1;;;;;;0;0;9.218456444917172e-14;2.0;2.0
274756;PAN PEPITO;1;161;0;0;0;0;;;;;;161;161;9.715489688934589e-14;0.0;0.0
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;1;206;0;0;0;0;;;;;;206;206;9.849213512427743e-14;0.0;0.0
400121;Miniatura;1;197;0;0;0;3;;;;;;197;197;9.766671387836724e-14;0.0;0.0
400221;Pepito;1;155;0;0;0;0;;;;;;155;155;9.697659845802168e-14;0.0;0.0
400231;Pepito;1;161;0;0;0;4;;;;;;161;161;9.64109320907807e-14;0.0;0.0
400233;Pepito;1;161;0;0;0;352;;;;;;161;161;3.168599461560942e-14;0.0;0.0
401111;Bocata;1;225;0;0;0;4;;;;;;225;225;9.831278202490557e-14;0.0;0.0
401113;Bocata;1;225;0;0;0;288;;;;;;225;225;4.549128132677728e-14;0.0;0.0
401301;Baguette Plus;1;161;0;0;0;12;;;;;;161;161;9.492300249365033e-14;0.0;0.0
401421;Barra Castellana;1;138;0;0;0;0;;;;;;138;138;9.647141956926977e-14;0.0;0.0
401423;Barra Castellana;1;121;0;0;0;96;;;;;;121;121;7.811108551495336e-14;0.0;0.0
401621;Media Baguette;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
401881;Bollo;1;206;0;0;0;2;;;;;;206;206;9.812015272499484e-14;0.0;0.0
402011;Viena Mondat 145 gr;1;247;0;0;0;370;;;;;;247;247;3.089376387104637e-14;0.0;0.0
402801;Viena;1;225;0;0;0;0;;;;;;225;225;9.905674682347076e-14;0.0;0.0
403321;Barra de Viena;1;197;0;0;0;0;;;;;;197;197;9.822468747729112e-14;0.0;0.0
403341;Barra de Viena;1;243;0;0;0;3;;;;;;243;243;9.903366851851949e-14;0.0;0.0
403801;Mini Viena Andaluza;1;206;0;0;0;1;;;;;;206;206;9.830614392463614e-14;0.0;0.0
404903;Viena 170g;1;187;0;0;0;128;;;;;;187;187;7.412064987099813e-14;0.0;0.0
405121;Miniatura con Salvado;1;197;0;0;0;0;;;;;;197;197;9.822468747729112e-14;0.0;0.0
405621;Media Baguette con Salvado;1;139;0;0;0;0;;;;;;139;139;9.650113597449046e-14;0.0;0.0
406002;Panecito Integral 100% Ecológico Easy;1;137;0;0;0;48;;;;;;137;137;8.751412558126683e-14;0.0;0.0
406301;Viena Mondat con Salvado 145 gr;1;225;0;0;0;27;;;;;;225;225;9.403498443315574e-14;0.0;0.0
406401;Viena con Salvado Pequeña;1;206;0;0;0;4;;;;;;206;206;9.774817032571225e-14;0.0;0.0
406501;Bollo 100 % Integral;1;188;0;0;0;0;;;;;;188;188;9.795723983030482e-14;0.0;0.0
407401;Bollo Rústico Semillado;1;131;0;0;0;0;;;;;;131;131;9.626340473272486e-14;0.0;0.0
407411;Bollo Rústico Semillado;1;131;0;0;0;1;;;;;;131;131;9.607741353308356e-14;0.0;0.0
411001;Chapata Mini;1;135;0;0;0;0;;;;;;135;135;9.638227035360767e-14;0.0;0.0
