COD_ART;NOMBRE;Cj/H;Disponible;Calidad;Stock Externo;M_Vta -15;M_Vta -15 AA;H;CJ;Cob;Línea;DIA;STOCK_TOTAL;DIAS_COBERTURA;DEMANDA_PREDICHA;CAJAS_PRODUCIR;HORAS_PRODUCCION
431610;Bollito 100% Integral Easy Pack 8 unidades;1.0;136.00086;0.0;0.0;0.0;28.0;;;;;;136.00086;136.00086;9.201144188065635e-14;0.0;0.0
432111;Pepito Sin Sal Añadida Easy;1.0;166.22628;0.0;0.0;0.0;0.0;;;;;;166.22628;166.22628;9.57857983055425e-14;0.0;0.0
432211;Pepito con Salvado Easy;1.0;166.21578;0.0;0.0;0.0;8.0;;;;;;166.21578;166.21578;9.48846246689293e-14;0.0;0.0
432311;Pepito con Salvado Sin Sal Añadida Easy;1.0;166.21039;0.0;0.0;56.0;0.0;;;;;;166.21039;44.520640178571426;56.00000000000001;2.0;2.0
432421;Bollo Easy;1.0;149.60847;0.0;0.0;0.0;4.0;;;;;;149.60847;149.60847;9.499389407611729e-14;0.0;0.0
432501;Pan Bocadillo con Salvado Easy;1.0;187.00706;0.0;0.0;0.0;0.0;;;;;;187.00706;187.00706;9.621275489926589e-14;0.0;0.0
432821;Pan Bocadillo Easy;1.0;169.99643;0.0;0.0;0.0;0.0;;;;;;169.99643;169.99643;9.586325884368526e-14;0.0;0.0
432911;Panecito con Salvado Easy;1.0;158.39643;0.0;0.0;0.0;12.0;;;;;;158.39643;158.39643;9.427349134952823e-14;0.0;0.0
433701;Bollito Easy Pack de 8 Uds;1.0;133.91913;0.0;0.0;0.0;0.0;;;;;;133.91913;133.91913;9.51220238602661e-14;0.0;0.0
434011;Panecito Sin Sal Añadida Easy;1.0;158.39017;0.0;0.0;0.0;0.0;;;;;;158.39017;158.39017;9.562479959261441e-14;0.0;0.0
434111;Panecito con Salvado Sin Sal Añadida Easy;1.0;158.40635;0.0;0.0;392.0;0.0;;;;;;158.40635;6.061467474489796;391.9999999999995;2.0;2.0
434201;Viena Easy;1.0;185.45964;0.0;0.0;0.0;159.0;;;;;;185.45964;185.45964;7.827442361585152e-14;0.0;0.0
434721;Bollito Easy;1.0;134.85559;0.0;0.0;0.0;82.0;;;;;;134.85559;134.85559;8.590644558849307e-14;0.0;0.0
