Fecha;16/12/2024 14:06;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;21;1,4;3.137;209,1;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;896;59,7;1.288;85,9;;4,60%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.200;280;4.689;312,6;;6,00%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);6;(en blanco);(en blanco);18,3;274;18,3;1.176;19,6;228;15,2;100;6,7;120,20%;15,20%
400231;Pepito;MEC;160,18779;0;0;(en blanco);2;(en blanco);(en blanco);20,9;313;20,9;1.409;23,5;200;13,3;295;19,7;156,50%;4,50%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;640;10,7;224;14,9;;;;0,00%
401111;Bocata;MEC;224,45714;0;0;(en blanco);392;11/12/2024;15;61,6;924;61,6;2.752;45,9;976;65,1;550;36,7;94,70%;11,80%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;576;9,6;352;23,5;;;;0,00%
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);11;13/12/2024;335;13,1;197;13,1;1.058;17,6;320;21,3;354;23,6;61,60%;6,00%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);224;(en blanco);(en blanco);;;;170;2,8;56;3,7;170;11,3;;2,20%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;224;3,7;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;1;0,1;;
401881;Bollo;MEC;205,58375;0;0;(en blanco);2;13/12/2024;425;48,5;727;48,5;1.608;26,8;508;33,9;552;36,8;143,10%;6,10%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);927;11/12/2024;143;57,1;856;57,1;5.612;93,5;1.119;74,6;2.039;135,9;76,50%;3,70%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;11/12/2024;44;28;420;28;421;7;434;28,9;116;7,7;96,80%;24,90%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;-2;-0,1;;
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);11;11/12/2024;487;57,5;863;57,5;4.231;70,5;2.170;144,7;1.689;112,6;39,80%;8,60%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);28;11/12/2024;283;13,6;204;13,6;1.021;17;526;35,1;254;16,9;38,80%;13,80%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);;;;194;3,2;;;;;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,2;3;0,2;38;0,6;2;0,1;0;0;150,00%;0,00%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;57;3,8;11;0,7;;34,50%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);10;(en blanco);(en blanco);14;210;14;1.080;18;616;41,1;277;18,5;34,10%;14,80%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);170;12/12/2024;680;32,8;492;32,8;2.713;45,2;656;43,7;941;62,7;75,00%;4,60%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);112;12/12/2024;431;30,7;461;30,7;1.667;27,8;513;34,2;481;32,1;89,90%;7,10%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);0,8;12;0,8;120;2;52;3,5;10;0,7;23,10%;34,70%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;61;4,1;100;6,7;;4,10%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);0;(en blanco);(en blanco);3,9;58;3,9;330;5,5;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;147;9,8;174;11,6;;5,60%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);0;10/12/2024;0;31,5;473;31,5;807;13,5;;;;;0,00%;
