Fecha;11/12/2024 10:14;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1.645;109,7;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.372;91,5;1.036;69,1;;8,80%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.536;302,4;5.081;338,7;;6,00%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);13;(en blanco);(en blanco);22,7;340;22,7;1.212;20,2;194;12,9;172;11,5;175,30%;7,50%
400231;Pepito;MEC;160,18779;0;0;(en blanco);59;13/12/2024;324;21,9;329;21,9;1.608;26,8;288;19,2;281;18,7;114,20%;6,80%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);23,5;352;23,5;640;10,7;224;14,9;;;157,10%;0,00%
401111;Bocata;MEC;224,45714;0;0;(en blanco);399;10/12/2024;688;44,8;672;44,8;2.367;39,5;681;45,4;1.167;77,8;98,70%;3,90%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);17,1;256;17,1;576;9,6;352;23,5;;;72,70%;0,00%
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);8;13/12/2024;335;17,1;256;17,1;1.149;19,2;329;21,9;310;20,7;77,80%;7,10%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);224;(en blanco);(en blanco);;;;183;3,1;184;12,3;2;0,1;;613,30%
