Fecha;26/12/2024 8:59;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.645;109,7;1.512;100,8;;7,30%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.036;69,1;1.232;82,1;;5,60%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;5.081;338,7;3.948;263,2;;8,60%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);3;28/12/2024;396;9,2;138;9,2;960;16;172;11,5;150;10;80,20%;7,60%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;3;0,2;;
400231;Pepito;MEC;160,18779;0;0;(en blanco);5;19/12/2024;4;27,1;407;27,1;1.465;24,4;281;18,7;263;17,5;144,80%;7,10%
400233;Pepito;MEC;160,28813;0;0;(en blanco);352;(en blanco);(en blanco);;;;352;5,9;;;;;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);4;20/12/2024;497;89,3;1340;89,3;3.236;53,9;1.167;77,8;692;46,1;114,80%;11,20%
401113;Bocata;MEC;224,45714;0;0;(en blanco);252;(en blanco);(en blanco);;;;256;4,3;;;;;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);20;28/12/2024;651;20,9;313;20,9;1.129;18,8;310;20,7;367;24,5;101,00%;5,60%
