Fecha;24/12/2024 12:04;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.645;109,7;1.512;100,8;;7,30%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;896;59,7;1.288;85,9;;4,60%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.801;320,1;3.388;225,9;;9,40%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);1;28/12/2024;396;10,6;159;10,6;993;16,6;226;15,1;106;7,1;70,40%;14,20%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;2;0,1;;
400231;Pepito;MEC;160,18779;0;0;(en blanco);30;19/12/2024;4;27,2;408;27,2;1.503;25,1;272;18,1;260;17,3;150,00%;7,00%
400233;Pepito;MEC;160,28813;0;0;(en blanco);352;(en blanco);(en blanco);;;;352;5,9;224;14,9;;;;0,00%
401111;Bocata;MEC;224,45714;0;0;(en blanco);4;20/12/2024;497;65,3;979;65,3;2.886;48,1;1.127;75,1;724;48,3;86,90%;10,40%
401113;Bocata;MEC;224,45714;0;0;(en blanco);252;(en blanco);(en blanco);;;;256;4,3;352;23,5;;;;0,00%
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);47;28/12/2024;651;18,4;276;18,4;1.111;18,5;309;20,6;342;22,8;89,30%;6,00%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;(en blanco);(en blanco);5,7;85;5,7;254;4,2;57;3,8;169;11,3;149,10%;2,20%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);96;(en blanco);(en blanco);;;;96;1,6;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;1;0,1;;
401881;Bollo;MEC;205,58375;0;0;(en blanco);7;19/12/2024;14;59,9;898;59,9;2.033;33,9;725;48,3;289;19,3;123,90%;16,70%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);333;19/12/2024;1252;135,7;2036;135,7;6.442;107,4;1.572;104,8;1.888;125,9;129,50%;5,60%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);28;420;28;421;7;367;24,5;126;8,4;114,40%;19,40%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;-2;-0,1;;
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);10;20/12/2024;571;69,2;1038;69,2;4.343;72,4;1.744;116,3;1.375;91,7;59,50%;8,50%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);28;20/12/2024;44;18,1;272;18,1;1.037;17,3;416;27,7;173;11,5;65,40%;16,00%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);128;(en blanco);(en blanco);;;;65;1,1;;;;;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);1;(en blanco);(en blanco);0,3;5;0,3;26;0,4;;;2;0,1;0,00%;
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;33;2,2;1;0,1;;220,00%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);18;18/12/2024;167;21,1;317;21,1;1.067;17,8;651;43,4;199;13,3;48,70%;21,80%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);70;20/12/2024;961;57,1;856;57,1;2.847;47,5;714;47,6;851;56,7;119,90%;5,60%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);7;20/12/2024;430;35,5;532;35,5;1.727;28,8;606;40,4;367;24,5;87,80%;11,00%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);1,5;22;1,5;120;2;40;2,7;11;0,7;55,00%;24,20%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;82;5,5;64;4,3;;8,50%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);0;(en blanco);(en blanco);5,1;76;5,1;297;5;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;160;10,7;137;9,1;;7,80%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);0;(en blanco);(en blanco);22,6;339;22,6;952;15,9;;;;;0,00%;
421802;Bollo Ecológico Easy;MEC;163,20404;0;0;(en blanco);0;(en blanco);(en blanco);;;;1.074;17,9;;;;;;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;0;0;(en blanco);0;(en blanco);(en blanco);9,7;146;9,7;383;6,4;;;;;0,00%;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;0;0;(en blanco);89;(en blanco);(en blanco);12,1;181;12,1;884;14,7;;;;;0,00%;
423301;Mollete Pack 4 UDS;MEC;167,3356;0;0;(en blanco);0;(en blanco);(en blanco);1,9;28;1,9;84;1,4;166;11,1;5;0,3;16,90%;221,30%
423321;Mollete;MEC;155,66037;0;0;(en blanco);201;18/12/2024;361;29,4;441;29,4;2.486;41,4;243;16,2;193;12,9;181,50%;8,40%
425351;Payesito Mondat;MEC;192,67272;0;0;(en blanco);11;(en blanco);(en blanco);4,8;72;4,8;303;5,1;6;0,4;37;2,5;1200,00%;1,10%
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;0;0;(en blanco);0;(en blanco);(en blanco);3,7;56;3,7;112;1,9;;;;;0,00%;
430301;Panecillo Semillas Easy;VIME;127,17655;0;0;(en blanco);0;24/12/2024;265;0,1;2;0,1;3;0,1;;;;;0,00%;
430401;Mini Panecillo Easy;VIME;134,85559;0;0;(en blanco);562;26/12/2024;542;40,9;613;40,9;4.203;70,1;;;;;0,00%;
430621;Pepito Easy;MEC;166,2776;0;0;(en blanco);621;17/12/2024;2648;176,2;2643;176,2;10.805;180,1;2.133;142,2;2.882;192,1;123,90%;4,90%
430702;Panecito Ecológico Easy;MEC;158,42696;0;0;(en blanco);244;18/12/2024;0;99,7;1495;99,7;6.900;115;2.438;162,5;533;35,5;61,30%;30,50%
430731;Panecito Easy;MEC;158,31932;0;0;(en blanco);75;17/12/2024;0;237,4;3561;237,4;15.039;250,7;1.894;126,3;588;39,2;188,00%;21,50%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;0;0;(en blanco);0;(en blanco);(en blanco);19,7;295;19,7;946;15,8;190;12,7;116;7,7;155,30%;10,90%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;0;0;(en blanco);0;(en blanco);(en blanco);17,7;265;17,7;1.993;33,2;461;30,7;663;44,2;57,50%;4,60%
432211;Pepito con Salvado Easy;MEC;166,21578;0;0;(en blanco);264;17/12/2024;768;54,2;813;54,2;2.353;39,2;521;34,7;619;41,3;156,00%;5,60%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;0;0;56;0;(en blanco);(en blanco);23,8;357;23,8;866;14,4;317;21,1;169;11,3;112,60%;12,50%
432421;Bollo Easy;MEC;149,60847;0;0;(en blanco);2;18/12/2024;0;30,9;464;30,9;2.325;38,8;458;30,5;312;20,8;101,30%;9,80%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;18/12/2024;282;;;;280;4,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;0;0;(en blanco);0;19/12/2024;440;50,6;759;50,6;3.108;51,8;832;55,5;235;15,7;91,20%;23,60%
432911;Panecito con Salvado Easy;MEC;158,39643;0;0;(en blanco);12;17/12/2024;0;66,7;1000;66,7;4.248;70,8;827;55,1;131;8,7;120,90%;42,10%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;0;0;(en blanco);0;(en blanco);(en blanco);8,1;121;8,1;508;8,5;236;15,7;83;5,5;51,30%;19,00%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;0;0;(en blanco);0;19/12/2024;64;24,3;364;24,3;1.259;21;217;14,5;450;30;167,70%;3,20%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;0;0;392;0;19/12/2024;0;9,3;140;9,3;325;5,4;174;11,6;189;12,6;80,50%;6,10%
