Fecha;02/01/2025 10:53;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.137;209,1;1;0,1;;20913,30%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.288;85,9;1.400;93,3;;6,10%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.605;307;4.844;322,9;;6,30%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);3;(en blanco);(en blanco);6,7;100;6,7;945;15,8;93;6,2;212;14,1;107,50%;2,90%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;3;0,2;;
400231;Pepito;MEC;160,18779;0;0;(en blanco);4;02/01/2025;290;27,2;408;27,2;1.471;24,5;324;21,6;259;17,3;125,90%;8,30%
400233;Pepito;MEC;160,28813;0;0;(en blanco);352;02/01/2025;375;;;;352;5,9;;;320;21,3;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);4;03/01/2024;452;55,7;835;55,7;3.520;58,7;556;37,1;684;45,6;150,20%;5,40%
401113;Bocata;MEC;224,45714;0;0;(en blanco);288;(en blanco);(en blanco);;;;256;4,3;;;224;14,9;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);12;(en blanco);(en blanco);22,7;341;22,7;1.141;19;363;24,2;343;22,9;93,90%;7,10%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;02/01/2025;175;;;;254;4,2;170;11,3;2;0,1;;566,70%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);96;02/01/2025;103;;;;96;1,6;;;288;19,2;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1;0,1;;6,70%
401881;Bollo;MEC;205,58375;0;0;(en blanco);2;(en blanco);(en blanco);35,3;530;35,3;2.021;33,7;520;34,7;182;12,1;101,90%;19,00%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);370;03/01/2024;761;114,7;1720;114,7;6.371;106,2;1.825;121,7;1.638;109,2;94,20%;7,40%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;121;8,1;94;6,3;;8,60%
