Fecha;03/12/2024 17:02;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;21;1,4;;0,30%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.484;98,9;1.008;67,2;;9,80%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.676;311,7;4.536;302,4;;6,90%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);19;(en blanco);(en blanco);18,1;271;18,1;1.210;20,2;190;12,7;235;15,7;142,60%;5,40%
400231;Pepito;MEC;160,18779;0;0;(en blanco);4;(en blanco);(en blanco);23,3;350;23,3;1.746;29,1;328;21,9;198;13,2;106,70%;11,00%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);23,5;352;23,5;640;10,7;222;14,8;224;14,9;158,60%;6,60%
401111;Bocata;MEC;224,45714;0;0;(en blanco);4;04/12/2024;452;50,8;762;50,8;2.429;40,5;1.232;82,1;983;65,5;61,90%;8,40%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);17,1;256;17,1;576;9,6;320;21,3;352;23,5;80,00%;6,10%
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);12;05/12/2024;335;19,1;286;19,1;1.168;19,5;296;19,7;329;21,9;96,60%;6,00%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);224;(en blanco);(en blanco);;;;183;3,1;216;14,4;56;3,7;;25,70%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);6,4;96;6,4;224;3,7;288;19,2;288;19,2;33,30%;6,70%
401871;Bollo;MEC;182,74111;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;-5;-0,3;;;;0,00%
401881;Bollo;MEC;205,58375;0;0;(en blanco);59;(en blanco);(en blanco);30,1;451;30,1;1.530;25,5;328;21,9;542;36,1;137,50%;4,00%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);615;04/12/2024;503;87;1305;87;6.485;108,1;2.249;149,9;1.499;99,9;58,00%;10,00%
402801;Viena;MEC;224,44444;0;0;(en blanco);420;(en blanco);(en blanco);;;;1;0;95;6,3;432;28,8;;1,50%
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);3;04/12/2024;487;63,1;946;63,1;4.131;68,9;1.996;133,1;1.868;124,5;47,40%;7,10%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);2;04/12/2024;423;20,2;303;20,2;1.274;21,2;523;34,9;472;31,5;57,90%;7,40%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);4,3;65;4,3;194;3,2;128;8,5;;;50,80%;0,00%
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,4;6;0,4;72;1,2;8;0,5;1;0,1;75,00%;53,30%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;1;0;150;10;59;3,9;;16,90%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);19;(en blanco);(en blanco);20,5;308;20,5;1.233;20,6;782;52,1;678;45,2;39,40%;7,70%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);147;02/12/2024;453;44,3;665;44,3;2.824;47,1;828;55,2;680;45,3;80,30%;8,10%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);1;(en blanco);(en blanco);27,1;406;27,1;1.602;26,7;693;46,2;511;34,1;58,60%;9,00%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);2,2;33;2,2;193;3,2;26;1,7;50;3,3;126,90%;3,50%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;70;4,7;81;5,4;;5,80%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);1;28/11/2024;56;7;105;7;358;6;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;131;8,7;153;10,2;;5,70%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);28;04/12/2024;376;30,4;456;30,4;456;7,6;;;;;0,00%;
421802;Bollo Ecológico Easy;MEC;163,20404;0;0;(en blanco);0;(en blanco);(en blanco);28,9;434;28,9;822;13,7;;;;;0,00%;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;0;0;(en blanco);0;04/12/2024;364;10,5;158;10,5;158;2,6;;;;;0,00%;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;0;0;(en blanco);81;(en blanco);(en blanco);16,9;254;16,9;1.000;16,7;;;;;0,00%;
423301;Mollete Pack 4 UDS;MEC;167,3356;0;0;(en blanco);0;(en blanco);(en blanco);1,9;28;1,9;56;0,9;96;6,4;35;2,3;29,20%;18,30%
423321;Mollete;MEC;155,66037;0;0;(en blanco);171;(en blanco);(en blanco);46,9;703;46,9;2.347;39,1;274;18,3;80;5,3;256,60%;22,80%
425351;Payesito Mondat;MEC;192,67272;0;0;(en blanco);6;(en blanco);(en blanco);5,2;78;5,2;414;6,9;;;;;0,00%;
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;0;0;(en blanco);0;(en blanco);(en blanco);3,7;56;3,7;112;1,9;;;;;0,00%;
