Fecha;31/12/2024 9:39;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.137;209,1;1;0,1;;20913,30%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.288;85,9;1.260;84;;6,80%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.689;312,6;4.480;298,7;;7,00%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);3;(en blanco);(en blanco);8;120;8;971;16,2;100;6,7;189;12,6;120,00%;3,50%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;3;0,2;;
400231;Pepito;MEC;160,18779;0;0;(en blanco);4;02/01/2025;290;26;390;26;1.396;23,3;295;19,7;222;14,8;132,20%;8,90%
400233;Pepito;MEC;160,28813;0;0;(en blanco);352;02/01/2025;375;;;;352;5,9;;;320;21,3;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);4;03/01/2024;452;59,7;895;59,7;3.161;52,7;550;36,7;672;44,8;162,70%;5,50%
401113;Bocata;MEC;224,45714;0;0;(en blanco);288;(en blanco);(en blanco);;;;256;4,3;;;224;14,9;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);12;(en blanco);(en blanco);23,1;347;23,1;1.136;18,9;354;23,6;340;22,7;98,00%;6,90%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;02/01/2025;175;;;;254;4,2;170;11,3;2;0,1;;566,70%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);96;02/01/2025;103;;;;96;1,6;;;288;19,2;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1;0,1;;6,70%
401881;Bollo;MEC;205,58375;0;0;(en blanco);2;(en blanco);(en blanco);40,3;604;40,3;2.016;33,6;552;36,8;160;10,7;109,40%;23,00%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);370;03/01/2024;761;119,7;1796;119,7;6.337;105,6;2.039;135,9;1.655;110,3;88,10%;8,20%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;116;7,7;60;4;;12,90%
