Fecha;30/12/2024 14:53;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.137;209,1;1;0,1;;20913,30%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.288;85,9;1.064;70,9;;8,10%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.689;312,6;3.724;248,3;;8,40%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);1;(en blanco);(en blanco);7,7;115;7,7;974;16,2;103;6,9;143;9,5;111,70%;4,80%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;3;0,2;;
400231;Pepito;MEC;160,18779;0;0;(en blanco);2;02/01/2025;324;22,1;331;22,1;1.405;23,4;295;19,7;201;13,4;112,20%;9,80%
400233;Pepito;MEC;160,28813;0;0;(en blanco);352;02/01/2025;495;;;;352;5,9;;;;;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);4;27/12/2024;395;59,4;891;59,4;3.250;54,2;540;36;678;45,2;165,00%;5,30%
401113;Bocata;MEC;224,45714;0;0;(en blanco);288;27/12/2024;66;;;;256;4,3;;;;;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);2;26/12/2024;79;19,4;291;19,4;1.106;18,4;375;25;297;19,8;77,60%;8,40%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;02/01/2025;156;;;;254;4,2;170;11,3;2;0,1;;566,70%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);96;02/01/2025;137;;;;96;1,6;;;;;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1;0,1;;6,70%
401881;Bollo;MEC;205,58375;0;0;(en blanco);3;02/01/2025;628;39,1;586;39,1;2.029;33,8;597;39,8;135;9;98,20%;29,50%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);232;27/12/2024;1488;81,8;1227;81,8;5.884;98,1;2.083;138,9;1.602;106,8;58,90%;8,70%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;123;8,2;56;3,7;;14,60%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;-2;-0,1;;
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);2;27/12/2024;545;63,8;957;63,8;4.200;70;1.806;120,4;1.317;87,8;53,00%;9,10%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);1;(en blanco);(en blanco);15,2;228;15,2;1.033;17,2;263;17,5;391;26,1;86,70%;4,50%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);128;27/12/2024;195;;;;65;1,1;;;;;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,8;12;0,8;25;0,4;0;0;2;0,1;0,00%;0,00%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;14;0,9;5;0,3;;18,70%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);21;31/12/2024;418;11,8;177;11,8;956;15,9;277;18,5;483;32,2;63,90%;3,80%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);2;27/12/2024;680;40,3;605;40,3;2.714;45,2;957;63,8;550;36,7;63,20%;11,60%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);1;03/01/2025;431;33,2;498;33,2;1.777;29,6;497;33,1;425;28,3;100,20%;7,80%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);1,3;19;1,3;115;1,9;10;0,7;9;0,6;190,00%;7,40%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;100;6,7;82;5,5;;8,10%
