Fecha;14/01/2025 16:34:43;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
430301;Panecillo Semillas Easy;VIME;127,17655;0;0;(en blanco);0;(en blanco);(en blanco);;;;2;0,0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;0;0;(en blanco);2;13/01/2025;411;37,7;566;37,7;3.983;66,4;24;1,6;474;31,6;2358,3 %;0,3 %
430621;Pepito Easy;MEC;166,2776;0;0;(en blanco);644;14/01/2025;2020;1,2;18;1,2;8.834;147,2;1.834;122,3;3.361;224,1;1,0 %;3,6 %
430702;Panecito Ecológico Easy;MEC;158,42696;0;0;(en blanco);319;14/01/2025;639;0,1;2;0,1;4.257;71,0;1.671;111,4;3.495;233,0;0,1 %;3,2 %
430731;Panecito Easy;MEC;158,31932;0;0;(en blanco);816;15/01/2025;980;7,4;111;7,4;10.507;175,1;1.385;92,3;2.258;150,5;8,0 %;4,1 %
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;0;0;(en blanco);112;13/01/2025;273;4,5;68;4,5;742;12,4;91;6,1;252;16,8;74,7 %;2,4 %
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;0;0;(en blanco);0;14/01/2025;514;2,1;31;2,1;1.699;28,3;453;30,2;390;26,0;6,8 %;7,7 %
432211;Pepito con Salvado Easy;MEC;166,21578;0;0;(en blanco);240;15/01/2025;353;5,1;76;5,1;2.306;38,4;437;29,1;1.305;87,0;17,4 %;2,2 %
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;0;0;(en blanco);0;(en blanco);(en blanco);1,5;23;1,5;670;11,2;241;16,1;222;14,8;9,5 %;7,2 %
432421;Bollo Easy;MEC;149,60847;0;0;(en blanco);0;14/01/2025;311;3,5;52;3,5;1.445;24,1;363;24,2;770;51,3;14,3 %;3,1 %
