Fecha;08/01/2025 13:09;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.512;100,8;2;0,1;;5040,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.288;85,9;1.344;89,6;;6,40%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.388;225,9;5.791;386,1;;3,90%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);10;10/01/2025;594;5;75;5;852;14,2;106;7,1;213;14,2;70,80%;3,30%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;2;0,1;1;0,1;;13,30%
400231;Pepito;MEC;160,18779;0;0;(en blanco);5;10/01/2025;324;15,1;226;15,1;1.231;20,5;260;17,3;265;17,7;86,90%;6,50%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;352;5,9;;;320;21,3;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);3;04/01/2025;581;52,6;789;52,6;3.075;51,3;724;48,3;450;30;109,00%;10,70%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;256;4,3;;;224;14,9;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);4;10/01/2025;651;13,9;208;13,9;1.032;17,2;342;22,8;339;22,6;60,80%;6,70%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;(en blanco);(en blanco);;;;85;1,4;169;11,3;366;24,4;;3,10%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);32;(en blanco);(en blanco);;;;96;1,6;;;288;19,2;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1;0,1;;6,70%
401881;Bollo;MEC;205,58375;0;0;(en blanco);7;10/01/2025;425;9,3;140;9,3;1.910;31,8;289;19,3;335;22,3;48,40%;5,80%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);12;04/01/2025;814;64,1;962;64,1;5.449;90,8;1.888;125,9;2.317;154,5;51,00%;5,40%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;126;8,4;381;25,4;;2,20%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;-2;-0,1;;;;0,00%
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);6;04/01/2025;643;41,1;617;41,1;3.687;61,5;1.375;91,7;1.878;125,2;44,90%;4,90%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);20;(en blanco);(en blanco);9,9;148;9,9;935;15,6;173;11,5;752;50,1;85,50%;1,50%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);;;;65;1,1;;;96;6,4;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,7;10;0,7;26;0,4;2;0,1;;;500,00%;0,00%
