Fecha;27/12/2024 9:55;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;2.429;161,9;729;48,6;;22,20%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.036;69,1;1.232;82,1;;5,60%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.717;314,5;4.088;272,5;;7,70%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);12;(en blanco);(en blanco);8;120;8;966;16,1;140;9,3;163;10,9;85,70%;5,70%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;3;0,2;;
400231;Pepito;MEC;160,18779;0;0;(en blanco);10;19/12/2024;4;26,7;401;26,7;1.510;25,2;305;20,3;223;14,9;131,50%;9,10%
400233;Pepito;MEC;160,28813;0;0;(en blanco);352;(en blanco);(en blanco);;;;352;5,9;;;;;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);365;20/12/2024;399;89,1;1336;89,1;3.239;54;1.070;71,3;946;63,1;124,90%;7,50%
401113;Bocata;MEC;224,45714;0;0;(en blanco);288;27/12/2024;354;;;;256;4,3;;;;;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);5;26/12/2024;456;21,1;317;21,1;1.153;19,2;318;21,2;372;24,8;99,70%;5,70%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;(en blanco);(en blanco);5,7;85;5,7;254;4,2;2;0,1;170;11,3;4250,00%;0,10%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);96;(en blanco);(en blanco);;;;96;1,6;;;;;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;2;0,1;;
401881;Bollo;MEC;205,58375;0;0;(en blanco);3;19/12/2024;14;51,3;770;51,3;2.100;35;652;43,5;255;17;118,10%;17,00%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);562;19/12/2024;991;137,5;2063;137,5;6.231;103,9;1.288;85,9;1.986;132,4;160,20%;4,30%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);28;420;28;420;7;70;4,7;122;8,1;600,00%;3,80%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;-2;-0,1;;
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);12;20/12/2024;590;71,5;1073;71,5;4.509;75,2;1.784;118,9;1.584;105,6;60,10%;7,50%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);30;20/12/2024;44;17,9;269;17,9;1.067;17,8;384;25,6;327;21,8;70,10%;7,80%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);128;27/12/2024;195;;;;65;1,1;;;;;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);4;(en blanco);(en blanco);0,5;7;0,5;25;0,4;;;2;0,1;0,00%;
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;20;1,3;6;0,4;;22,20%
