Fecha;09/01/2025 15:40;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.512;100,8;2;0,1;;5040,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.316;87,7;1.316;87,7;;6,70%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.172;278,1;5.231;348,7;;5,30%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);22;10/01/2025;594;4,8;72;4,8;851;14,2;144;9,6;179;11,9;50,00%;5,40%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3;0,2;;;;0,00%
400231;Pepito;MEC;160,18779;0;0;(en blanco);28;10/01/2025;324;14,1;211;14,1;1.226;20,4;279;18,6;251;16,7;75,60%;7,40%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;352;5,9;;;320;21,3;;
401111;Bocata;MEC;224,45714;0;0;(en blanco);481;09/01/2025;687;26,5;397;26,5;3.071;51,2;728;48,5;451;30,1;54,50%;10,80%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;256;4,3;;;224;14,9;;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);20;10/01/2025;651;9,6;144;9,6;1.019;17;374;24,9;321;21,4;38,50%;7,80%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);364;09/01/2025;428;;;;85;1,4;171;11,4;364;24,3;;3,10%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);32;(en blanco);(en blanco);;;;96;1,6;;;288;19,2;;
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;2;0,1;;;;0,00%
401881;Bollo;MEC;205,58375;0;0;(en blanco);5;(en blanco);(en blanco);3,4;51;3,4;1.905;31,8;307;20,5;362;24,1;16,60%;5,70%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);573;09/01/2025;744;56,5;847;56,5;5.390;89,8;1.978;131,9;2.241;149,4;42,80%;5,90%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);;;;420;7;131;8,7;381;25,4;;2,30%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;-2;-0,1;;;;0,00%
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);24;09/01/2025;487;26,9;404;26,9;3.631;60,5;1.643;109,5;1.903;126,9;24,60%;5,80%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);12;(en blanco);(en blanco);6,6;99;6,6;923;15,4;216;14,4;837;55,8;45,80%;1,70%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);;;;65;1,1;;;96;6,4;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,5;8;0,5;25;0,4;2;0,1;1;0,1;400,00%;13,30%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;6;0,4;4;0,3;;10,00%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);29;10/01/2025;418;0,1;2;0,1;811;13,5;276;18,4;815;54,3;0,70%;2,30%
