Fecha;12/12/2024 11:01;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;2.429;161,9;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.260;84;1.036;69,1;;8,10%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.424;294,9;4.717;314,5;;6,30%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);0;(en blanco);(en blanco);20,2;303;20,2;1.230;20,5;221;14,7;140;9,3;137,10%;10,50%
400231;Pepito;MEC;160,18779;0;0;(en blanco);68;(en blanco);(en blanco);21,9;329;21,9;1.647;27,5;303;20,2;305;20,3;108,60%;6,60%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;640;10,7;224;14,9;;;;0,00%
401111;Bocata;MEC;224,45714;0;0;(en blanco);396;11/12/2024;15;41,3;620;41,3;2.371;39,5;776;51,7;1.070;71,3;79,90%;4,80%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;576;9,6;352;23,5;;;;0,00%
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);0;13/12/2024;335;17,3;260;17,3;1.142;19;313;20,9;318;21,2;83,10%;6,60%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);224;(en blanco);(en blanco);;;;183;3,1;184;12,3;2;0,1;;613,30%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;224;3,7;288;19,2;;;;0,00%
