Fecha;10/12/2024 10:27;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;1.645;109,7;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.372;91,5;896;59,7;;10,20%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.368;291,2;4.801;320,1;;6,10%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);27;(en blanco);(en blanco);20,3;305;20,3;1.181;19,7;139;9,3;226;15,1;219,40%;4,10%
400231;Pepito;MEC;160,18779;0;0;(en blanco);64;(en blanco);(en blanco);20,7;310;20,7;1.619;27;270;18;272;18,1;114,80%;6,60%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);23,5;352;23,5;640;10,7;;;224;14,9;0,00%;
401111;Bocata;MEC;224,45714;0;0;(en blanco);405;(en blanco);(en blanco);43;645;43;2.350;39,2;679;45,3;1.127;75,1;95,00%;4,00%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);17,1;256;17,1;576;9,6;;;352;23,5;0,00%;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);60;(en blanco);(en blanco);14,5;217;14,5;1.103;18,4;299;19,9;309;20,6;72,60%;6,50%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);224;(en blanco);(en blanco);;;;183;3,1;128;8,5;57;3,8;;15,00%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);6,4;96;6,4;224;3,7;;;288;19,2;0,00%;
401881;Bollo;MEC;205,58375;0;0;(en blanco);88;(en blanco);(en blanco);41,8;627;41,8;1.457;24,3;224;14,9;725;48,3;279,90%;2,10%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);733;(en blanco);(en blanco);66,3;995;66,3;5.958;99,3;1.500;100;1.628;108,5;66,30%;6,10%
402801;Viena;MEC;224,44444;0;0;(en blanco);420;(en blanco);(en blanco);;;;1;0;169;11,3;367;24,5;;3,10%
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);60;(en blanco);(en blanco);54,3;815;54,3;4.102;68,4;2.305;153,7;1.744;116,3;35,40%;8,80%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);3;(en blanco);(en blanco);15,9;238;15,9;1.058;17,6;520;34,7;416;27,7;45,80%;8,30%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);4,3;65;4,3;194;3,2;;;;;0,00%;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,3;4;0,3;47;0,8;7;0,5;;;57,10%;0,00%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;102;6,8;33;2,2;;20,60%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);33;(en blanco);(en blanco);15,9;238;15,9;1.092;18,2;628;41,9;651;43,4;37,90%;6,40%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);179;(en blanco);(en blanco);36,4;546;36,4;2.731;45,5;616;41,1;714;47,6;88,60%;5,80%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);137;(en blanco);(en blanco);26,1;392;26,1;1.557;26;424;28,3;606;40,4;92,50%;4,70%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);1,1;16;1,1;159;2,7;28;1,9;40;2,7;57,10%;4,70%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;52;3,5;82;5,5;;4,20%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);20;(en blanco);(en blanco);4,9;73;4,9;344;5,7;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;120;8;160;10,7;;5,00%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);0;(en blanco);(en blanco);33,3;500;33,3;613;10,2;;;;;0,00%;
421802;Bollo Ecológico Easy;MEC;163,20404;0;0;(en blanco);0;(en blanco);(en blanco);26,1;392;26,1;990;16,5;;;;;0,00%;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;0;0;(en blanco);0;(en blanco);(en blanco);11,5;173;11,5;237;4;;;;;0,00%;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;0;0;(en blanco);98;(en blanco);(en blanco);17,4;261;17,4;936;15,6;;;;;0,00%;
423301;Mollete Pack 4 UDS;MEC;167,3356;0;0;(en blanco);28;(en blanco);(en blanco);1,9;28;1,9;84;1,4;33;2,2;166;11,1;84,80%;1,30%
423321;Mollete;MEC;155,66037;0;0;(en blanco);204;(en blanco);(en blanco);46;690;46;2.526;42,1;161;10,7;243;16,2;428,60%;4,40%
425351;Payesito Mondat;MEC;192,67272;0;0;(en blanco);13;(en blanco);(en blanco);3,8;57;3,8;317;5,3;;;6;0,4;0,00%;
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;0;0;(en blanco);0;(en blanco);(en blanco);3,7;56;3,7;112;1,9;;;;;0,00%;
430301;Panecillo Semillas Easy;VIME;127,17655;0;0;(en blanco);0;(en blanco);(en blanco);;;;1;0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;0;0;(en blanco);592;(en blanco);(en blanco);68,3;1024;68,3;4.558;76;;;;;0,00%;
430621;Pepito Easy;MEC;166,2776;0;0;(en blanco);641;(en blanco);(en blanco);125,3;1880;125,3;10.296;171,6;3.108;207,2;2.133;142,2;60,50%;9,70%
430702;Panecito Ecológico Easy;MEC;158,42696;0;0;(en blanco);350;(en blanco);(en blanco);111,6;1674;111,6;7.458;124,3;2.340;156;2.438;162,5;71,50%;6,40%
430731;Panecito Easy;MEC;158,31932;0;0;(en blanco);72;(en blanco);(en blanco);231,6;3474;231,6;14.662;244,4;1.569;104,6;1.894;126,3;221,40%;5,50%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;0;0;(en blanco);28;(en blanco);(en blanco);13,3;199;13,3;756;12,6;79;5,3;190;12,7;251,90%;2,80%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;0;0;(en blanco);0;(en blanco);(en blanco);19,5;293;19,5;1.983;33,1;616;41,1;461;30,7;47,60%;8,90%
432211;Pepito con Salvado Easy;MEC;166,21578;0;0;(en blanco);240;(en blanco);(en blanco);25,7;385;25,7;2.161;36;761;50,7;521;34,7;50,60%;9,70%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;0;0;56;0;(en blanco);(en blanco);7,3;109;7,3;692;11,5;159;10,6;317;21,1;68,60%;3,30%
432421;Bollo Easy;MEC;149,60847;0;0;(en blanco);1;(en blanco);(en blanco);26,1;391;26,1;2.026;33,8;617;41,1;458;30,5;63,40%;9,00%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;(en blanco);(en blanco);;;;280;4,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;0;0;(en blanco);7;(en blanco);(en blanco);29,1;437;29,1;2.843;47,4;307;20,5;832;55,5;142,30%;2,50%
432911;Panecito con Salvado Easy;MEC;158,39643;0;0;(en blanco);15;(en blanco);(en blanco);69,7;1045;69,7;4.453;74,2;414;27,6;827;55,1;252,40%;3,30%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;0;0;(en blanco);0;(en blanco);(en blanco);2,9;43;2,9;534;8,9;66;4,4;236;15,7;65,20%;1,90%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;0;0;(en blanco);0;(en blanco);(en blanco);9;135;9;885;14,8;302;20,1;217;14,5;44,70%;9,30%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;0;0;448;0;(en blanco);(en blanco);5,6;84;5,6;185;3,1;140;9,3;174;11,6;60,00%;5,40%
434201;Viena Easy;MEC;185,45964;0;0;(en blanco);37;(en blanco);(en blanco);76,4;1146;76,4;4.132;68,9;685;45,7;912;60,8;167,30%;5,00%
434721;Bollito Easy;VIME;134,85559;0;0;(en blanco);150;(en blanco);(en blanco);54;810;54;2.882;48;460;30,7;785;52,3;176,10%;3,90%
435711;Rombito Integral 100%;VIME;122,40097;0;0;(en blanco);1;(en blanco);(en blanco);4;60;4;334;5,6;;;;;0,00%;
436001;Rombito Rústico;VIME;267,6923;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;1;0,1;;
436011;Rombito Rústico;VIME;133,84615;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;54;3,6;3;0,2;;120,00%
436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;0;0;(en blanco);0;(en blanco);(en blanco);0,2;3;0,2;95;1,6;;;;;0,00%;
438801;Panecillo con Semillas;VIME;138,83391;0;0;252;56;(en blanco);(en blanco);7,3;110;7,3;447;7,5;43;2,9;242;16,1;255,80%;1,20%
453211;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;7.700;513,3;9.240;616;;5,60%
453233;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);;;;499;8,3;;;;;;
453241;Panecillo 100% Integral;VIME;113,63273;0;0;586;0;(en blanco);(en blanco);-0,7;-11;-0,7;198;3,3;;;;;0,00%;
453243;Panecillo 100% Integral;VIME;123,95874;0;0;(en blanco);112;(en blanco);(en blanco);20,9;314;20,9;1.373;22,9;;;;;0,00%;
453251;Panecillo 100% Integral;VIME;118,69587;0;0;(en blanco);1148;04/12/2024;0;593,6;8904;593,6;42.924;715,4;;;;;0,00%;
454001;Panecillo 100% Integral;VIME;98,9047;0;0;(en blanco);0;(en blanco);(en blanco);;;;271;4,5;40;2,7;27;1,8;;9,90%
5718540;Panecillo con  Semillas;VIME;138,85714;0;0;616;3920;06/12/2024;4536;345,4;5181;345,4;16.577;276,3;3.696;246,4;5.656;377,1;140,20%;4,40%
5718619;Pulguita;MEC;160,291;0;0;224;1540;(en blanco);(en blanco);179,2;2688;179,2;11.398;190;;;5.180;345,3;0,00%;
5720811;Baguetina Cereales;VIME;107,09612;0;0;307;4564;05/12/2024;2971;212,9;3193;212,9;7.761;129,4;;;;;0,00%;
604301;Pepito Easy Pack 5 uds;MEC;166,21437;0;0;(en blanco);0;(en blanco);(en blanco);4,6;69;4,6;216;3,6;;;;;0,00%;
Total general;;;;;;;;;;2.799,10;41987;2.799,10;175.271;2.921,20;37.301;2.486,70;50.522;3.368,10;112,60%;4,90%
