Fecha;19/12/2024 12:08;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;22;1,5;3.136;209,1;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;756;50,4;1.288;85,9;;3,90%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;3.640;242,7;4.689;312,6;;5,20%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);1;(en blanco);(en blanco);15,4;231;15,4;1.173;19,6;229;15,3;98;6,5;100,90%;15,60%
400221;Pepito;MEC;154,64788;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;2;0,1;;
400231;Pepito;MEC;160,18779;0;0;(en blanco);3;(en blanco);(en blanco);19,6;294;19,6;1.475;24,6;195;13;382;25,5;150,80%;3,40%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;640;10,7;224;14,9;;;;0,00%
401111;Bocata;MEC;224,45714;0;0;(en blanco);368;(en blanco);(en blanco);67,1;1006;67,1;3.235;53,9;978;65,2;542;36,1;102,90%;12,00%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;576;9,6;352;23,5;;;;0,00%
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);16;13/12/2024;106;17,1;256;17,1;1.086;18,1;298;19,9;368;24,5;85,90%;5,40%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;(en blanco);(en blanco);5,7;85;5,7;255;4,3;56;3,7;170;11,3;151,80%;2,20%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;224;3,7;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;1;0,1;;
401881;Bollo;MEC;205,58375;0;0;(en blanco);15;13/12/2024;0;57;855;57;1.848;30,8;547;36,5;511;34,1;156,30%;7,10%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);609;13/12/2024;27;112,4;1686;112,4;6.438;107,3;1.460;97,3;1.884;125,6;115,50%;5,20%
402801;Viena;MEC;224,44444;0;0;(en blanco);0;(en blanco);(en blanco);28;420;28;421;7;412;27,5;120;8;101,90%;22,90%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);3;(en blanco);(en blanco);;;;;;;;-2;-0,1;;
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);26;13/12/2024;181;71,5;1073;71,5;4.450;74,2;1.960;130,7;1.722;114,8;54,70%;7,60%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);71;(en blanco);(en blanco);16,5;248;16,5;1.019;17;458;30,5;223;14,9;54,10%;13,70%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);;;;194;3,2;;;;;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,2;3;0,2;31;0,5;1;0,1;2;0,1;300,00%;3,30%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;47;3,1;3;0,2;;104,40%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);12;18/12/2024;418;15,8;237;15,8;1.089;18,2;671;44,7;165;11;35,30%;27,10%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);142;(en blanco);(en blanco);52,3;785;52,3;2.883;48,1;686;45,7;928;61,9;114,40%;4,90%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);120;(en blanco);(en blanco);35,5;533;35,5;1.811;30,2;520;34,7;466;31,1;102,50%;7,40%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);1,3;20;1,3;123;2,1;39;2,6;12;0,8;51,30%;21,70%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;90;6;51;3,4;;11,80%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);14;(en blanco);(en blanco);4,5;67;4,5;331;5,5;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;187;12,5;159;10,6;;7,80%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);28;(en blanco);(en blanco);27,4;411;27,4;946;15,8;;;;;0,00%;
421802;Bollo Ecológico Easy;MEC;163,20404;0;0;(en blanco);0;(en blanco);(en blanco);16,8;252;16,8;1.074;17,9;;;;;0,00%;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;0;0;(en blanco);28;(en blanco);(en blanco);14;210;14;377;6,3;;;;;0,00%;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;0;0;(en blanco);149;14/12/2024;55;10,2;153;10,2;865;14,4;;;;;0,00%;
423301;Mollete Pack 4 UDS;MEC;167,3356;0;0;(en blanco);28;(en blanco);(en blanco);1,9;28;1,9;112;1,9;50;3,3;121;8,1;56,00%;2,80%
423321;Mollete;MEC;155,66037;0;0;(en blanco);328;13/12/2024;525;30,2;453;30,2;2.511;41,9;137;9,1;313;20,9;330,70%;2,90%
425351;Payesito Mondat;MEC;192,67272;0;0;(en blanco);4;13/12/2024;251;5,1;77;5,1;312;5,2;1;0,1;32;2,1;7700,00%;0,20%
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;0;0;(en blanco);0;(en blanco);(en blanco);;;;56;0,9;;;;;;
430301;Panecillo Semillas Easy;VIME;127,17655;0;0;(en blanco);0;(en blanco);(en blanco);0,1;1;0,1;2;0;;;;;0,00%;
430401;Mini Panecillo Easy;VIME;134,85559;0;0;(en blanco);1148;(en blanco);(en blanco);41,2;618;41,2;4.644;77,4;;;;;0,00%;
430621;Pepito Easy;MEC;166,2776;0;0;(en blanco);642;17/12/2024;311;113,6;1704;113,6;10.322;172;3.124;208,3;2.307;153,8;54,50%;9,00%
430702;Panecito Ecológico Easy;MEC;158,42696;0;0;(en blanco);252;18/12/2024;1128;115;1725;115;7.631;127,2;2.214;147,6;602;40,1;77,90%;24,50%
430731;Panecito Easy;MEC;158,31932;0;0;(en blanco);89;16/12/2024;0;212,1;3181;212,1;15.400;256,7;1.627;108,5;819;54,6;195,50%;13,20%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;0;0;(en blanco);34;16/12/2024;0;19,7;296;19,7;1.000;16,7;166;11,1;90;6;178,30%;12,30%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;0;0;(en blanco);0;(en blanco);(en blanco);15,9;238;15,9;1.857;31;581;38,7;580;38,7;41,00%;6,70%
432211;Pepito con Salvado Easy;MEC;166,21578;0;0;(en blanco);264;17/12/2024;83;20;300;20;2.136;35,6;708;47,2;445;29,7;42,40%;10,60%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;0;0;56;0;(en blanco);(en blanco);13,5;202;13,5;780;13;221;14,7;208;13,9;91,40%;7,10%
432421;Bollo Easy;MEC;149,60847;0;0;(en blanco);0;18/12/2024;311;28,5;427;28,5;2.289;38,2;512;34,1;308;20,5;83,40%;11,10%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;18/12/2024;282;;;;280;4,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;0;0;(en blanco);0;(en blanco);(en blanco);28,5;427;28,5;2.910;48,5;699;46,6;363;24,2;61,10%;12,80%
432911;Panecito con Salvado Easy;MEC;158,39643;0;0;(en blanco);36;17/12/2024;0;64,7;970;64,7;4.514;75,2;757;50,5;279;18,6;128,10%;18,10%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;0;0;(en blanco);0;(en blanco);(en blanco);5,7;85;5,7;546;9,1;225;15;109;7,3;37,80%;13,80%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;0;0;(en blanco);0;(en blanco);(en blanco);13,1;196;13,1;1.071;17,9;351;23,4;366;24,4;55,80%;6,40%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;0;0;448;0;(en blanco);(en blanco);7,5;112;7,5;297;5;100;6,7;263;17,5;112,00%;2,50%
434201;Viena Easy;MEC;185,45964;0;0;(en blanco);64;18/12/2024;191;71,3;1069;71,3;4.132;68,9;814;54,3;653;43,5;131,30%;8,30%
434721;Bollito Easy;VIME;134,85559;0;0;(en blanco);159;16/12/2024;42;73,9;1109;73,9;3.557;59,3;784;52,3;435;29;141,50%;12,00%
435711;Rombito Integral 100%;VIME;122,40097;0;0;(en blanco);2;20/12/2024;249;4,3;64;4,3;280;4,7;;;;;0,00%;
436001;Rombito Rústico;VIME;267,6923;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;;;;0,00%
436011;Rombito Rústico;VIME;133,84615;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;9;0,6;;;;0,00%
436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;0;0;(en blanco);0;(en blanco);(en blanco);0,2;3;0,2;97;1,6;;;;;0,00%;
438801;Panecillo con Semillas;VIME;138,83391;0;0;196;67;(en blanco);(en blanco);5,9;88;5,9;337;5,6;173;11,5;220;14,7;50,90%;5,20%
453211;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;7.000;466,7;8.428;561,9;;5,50%
453233;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);;;;370;6,2;;;;;;
453241;Panecillo 100% Integral;VIME;113,63273;0;0;446;0;(en blanco);(en blanco);;;;198;3,3;;;;;;
453243;Panecillo 100% Integral;VIME;123,95874;0;0;(en blanco);336;16/12/2024;14;9,7;146;9,7;1.497;25;;;;;0,00%;
453251;Panecillo 100% Integral;VIME;118,69587;0;0;(en blanco);756;16/12/2024;201;472,3;7084;472,3;39.816;663,6;;;;;0,00%;
454001;Panecillo 100% Integral;VIME;98,9047;0;0;(en blanco);0;(en blanco);(en blanco);4,1;61;4,1;198;3,3;34;2,3;14;0,9;179,40%;16,20%
5718540;Panecillo con  Semillas;VIME;138,85714;0;0;756;1456;14/12/2024;2817;343,5;5152;343,5;18.117;302;6.076;405,1;4.536;302,4;84,80%;8,90%
5718619;Pulguita;MEC;160,291;0;0;364;896;13/12/2024;0;235,2;3528;235,2;13.050;217,5;4.004;266,9;5.068;337,9;88,10%;5,30%
5720811;Baguetina Cereales;VIME;107,09612;0;0;307;1400;14/12/2024;1976;339,7;5096;339,7;12.129;202,2;;;;;0,00%;
604301;Pepito Easy Pack 5 uds;MEC;166,21437;0;0;(en blanco);9;(en blanco);(en blanco);3,6;54;3,6;226;3,8;;;;;0,00%;
Total general;;;;;;;;;;2.887,90;43319;2.887,90;185.238;3.087,30;44.484;2.965,60;43.479;2.898,60;97,40%;6,80%
