Fecha;17/12/2024 13:04;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;21;1,4;3.137;209,1;;0,00%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;896;59,7;1.288;85,9;;4,60%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.200;280;4.689;312,6;;6,00%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);3;(en blanco);(en blanco);21;315;21;1.198;20;228;15,2;100;6,7;138,20%;15,20%
400231;Pepito;MEC;160,18779;0;0;(en blanco);2;20/12/2024;324;22,5;338;22,5;1.423;23,7;193;12,9;295;19,7;175,10%;4,40%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;640;10,7;224;14,9;;;;0,00%
401111;Bocata;MEC;224,45714;0;0;(en blanco);3;11/12/2024;467;66,9;1003;66,9;2.825;47,1;976;65,1;550;36,7;102,80%;11,80%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);;;;576;9,6;352;23,5;;;;0,00%
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);16;13/12/2024;106;16,9;254;16,9;1.084;18,1;308;20,5;354;23,6;82,50%;5,80%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);0;(en blanco);(en blanco);5,7;85;5,7;255;4,3;56;3,7;170;11,3;151,80%;2,20%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);;;;224;3,7;288;19,2;;;;0,00%
401621;Media Baguette;MEC;138,09751;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;1;0,1;;
401881;Bollo;MEC;205,58375;0;0;(en blanco);21;13/12/2024;0;55,7;835;55,7;1.700;28,3;498;33,2;552;36,8;167,70%;6,00%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);605;11/12/2024;1176;118,6;1779;118,6;6.454;107,6;1.069;71,3;2.039;135,9;166,40%;3,50%
402801;Viena;MEC;224,44444;0;0;(en blanco);1;11/12/2024;44;28;420;28;421;7;428;28,5;116;7,7;98,10%;24,60%
403321;Barra de Viena;MEC;196,69172;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;-2;-0,1;;
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);71;11/12/2024;1155;63,5;953;63,5;4.262;71;2.025;135;1.689;112,6;47,10%;8,00%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);59;11/12/2024;706;17,1;256;17,1;1.031;17,2;481;32,1;254;16,9;53,20%;12,60%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);;;;194;3,2;;;;;;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,2;3;0,2;32;0,5;2;0,1;0;0;150,00%;0,00%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;57;3,8;11;0,7;;34,50%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);10;18/12/2024;418;16;240;16;1.091;18,2;616;41,1;277;18,5;39,00%;14,80%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);106;12/12/2024;408;51,6;774;51,6;2.913;48,6;628;41,9;941;62,7;123,20%;4,40%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);4;12/12/2024;428;33,8;507;33,8;1.656;27,6;485;32,3;481;32,1;104,50%;6,70%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);0;(en blanco);(en blanco);1,3;19;1,3;122;2;50;3,3;10;0,7;38,00%;33,30%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;56;3,7;100;6,7;;3,70%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);1;(en blanco);(en blanco);4,1;61;4,1;329;5,5;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;147;9,8;174;11,6;;5,60%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);0;(en blanco);(en blanco);37;555;37;889;14,8;;;;;0,00%;
