Fecha;05/12/2024 15:09;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
244719;PANECILLO CON QUINOA (3%) 110 g;MEC;134,85314;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1;0,1;22;1,5;;0,30%
274756;PAN PEPITO;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;1.624;108,3;784;52,3;;13,80%
274757;PAN VIENA ANDALUZA INTEGRAL DE TRIGO 10%;MEC;205,7429;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;5.684;378,9;4.437;295,8;;8,50%
400121;Miniatura;MEC;196,35136;0;0;(en blanco);22;(en blanco);(en blanco);22,3;334;22,3;1.247;20,8;165;11;231;15,4;202,40%;4,80%
400231;Pepito;MEC;160,18779;0;0;(en blanco);2;(en blanco);(en blanco);24,1;362;24,1;1.810;30,2;376;25,1;195;13;96,30%;12,90%
400233;Pepito;MEC;160,28813;0;0;(en blanco);0;(en blanco);(en blanco);23,5;352;23,5;640;10,7;;;224;14,9;0,00%;
401111;Bocata;MEC;224,45714;0;0;(en blanco);11;(en blanco);(en blanco);44,7;670;44,7;2.785;46,4;1.277;85,1;959;63,9;52,50%;8,90%
401113;Bocata;MEC;224,45714;0;0;(en blanco);0;(en blanco);(en blanco);17,1;256;17,1;576;9,6;;;352;23,5;0,00%;
401301;Baguette Plus;MEC;160,34482;0;0;(en blanco);3;(en blanco);(en blanco);17;255;17;1.143;19,1;348;23,2;286;19,1;73,30%;8,10%
401421;Barra Castellana;MEC;137,06227;0;0;(en blanco);224;(en blanco);(en blanco);;;;183;3,1;216;14,4;56;3,7;;25,70%
401423;Barra Castellana;MEC;120,91656;0;0;(en blanco);0;(en blanco);(en blanco);6,4;96;6,4;224;3,7;;;288;19,2;0,00%;
401871;Bollo;MEC;182,74111;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;-4;-0,3;;;;0,00%
401881;Bollo;MEC;205,58375;0;0;(en blanco);76;(en blanco);(en blanco);39,1;586;39,1;1.605;26,8;348;23,2;549;36,6;168,40%;4,20%
402011;Viena Mondat 145 gr;MEC;246,74846;0;0;(en blanco);653;05/12/2024;503;85,3;1279;85,3;6.011;100,2;2.275;151,7;1.518;101,2;56,20%;10,00%
402801;Viena;MEC;224,44444;0;0;(en blanco);420;05/12/2024;467;;;;1;0;125;8,3;410;27,3;;2,00%
403341;Barra de Viena;MEC;242,1118;0;0;(en blanco);15;(en blanco);(en blanco);61,9;928;61,9;4.189;69,8;2.193;146,2;2.033;135,5;42,30%;7,20%
403801;Mini Viena Andaluza;MEC;205,70099;0;0;(en blanco);22;(en blanco);(en blanco);18,6;279;18,6;1.188;19,8;599;39,9;461;30,7;46,60%;8,70%
404903;Viena 170g;MEC;186,988;0;0;(en blanco);0;(en blanco);(en blanco);4,3;65;4,3;194;3,2;;;;;0,00%;
405121;Miniatura con Salvado;MEC;196,35943;0;0;(en blanco);0;(en blanco);(en blanco);0,2;3;0,2;71;1,2;8;0,5;1;0,1;37,50%;53,30%
405621;Media Baguette con Salvado;MEC;138,09507;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;166;11,1;43;2,9;;25,70%
406002;Panecito Integral 100% Ecológico Easy;MEC;136,80039;0;0;(en blanco);51;(en blanco);(en blanco);17,6;264;17,6;1.261;21;873;58,2;627;41,8;30,20%;9,30%
406301;Viena Mondat con Salvado 145 gr;MEC;224,3976;0;0;(en blanco);175;(en blanco);(en blanco);43,8;657;43,8;2.806;46,8;907;60,5;647;43,1;72,40%;9,30%
406401;Viena con Salvado Pequeña;MEC;205,7429;0;0;(en blanco);10;(en blanco);(en blanco);24,7;371;24,7;1.715;28,6;725;48,3;504;33,6;51,20%;9,60%
406501;Bollo 100 % Integral;MEC;187,00422;0;0;(en blanco);1;(en blanco);(en blanco);1,3;19;1,3;186;3,1;39;2,6;38;2,5;48,70%;6,80%
407401;Bollo Rústico Semillado;VIME;130,89849;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;75;5;87;5,8;;5,70%
407411;Bollo Rústico Semillado;VIME;130,89596;0;0;(en blanco);1;28/11/2024;56;6,7;100;6,7;360;6;;;;;0,00%;
411001;Chapata Mini;VIME;134,71253;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;163;10,9;173;11,5;;6,30%
421702;Barra de Viena Ecológica Easy;MEC;180,00603;0;0;(en blanco);29;(en blanco);(en blanco);39,6;594;39,6;594;9,9;;;;;0,00%;
421802;Bollo Ecológico Easy;MEC;163,20404;0;0;(en blanco);0;(en blanco);(en blanco);28,9;434;28,9;822;13,7;;;;;0,00%;
422002;Barra de Viena 15%  Integral  Ecológico Easy;MEC;179,99915;0;0;(en blanco);1;(en blanco);(en blanco);14,5;217;14,5;217;3,6;;;;;0,00%;
423111;Panecillo con Cereales y Semillas;VIME;155,78171;0;0;(en blanco);85;(en blanco);(en blanco);18,1;272;18,1;982;16,4;;;;;0,00%;
423301;Mollete Pack 4 UDS;MEC;167,3356;0;0;(en blanco);0;(en blanco);(en blanco);1,9;28;1,9;84;1,4;89;5,9;97;6,5;31,50%;6,10%
423321;Mollete;MEC;155,66037;0;0;(en blanco);172;(en blanco);(en blanco);53,2;798;53,2;2.528;42,1;269;17,9;175;11,7;296,70%;10,20%
425351;Payesito Mondat;MEC;192,67272;0;0;(en blanco);0;(en blanco);(en blanco);4,8;72;4,8;361;6;;;4;0,3;0,00%;
430101;Pan Bocadillo Sin Sal Añadida Easy;MEC;187,00569;0;0;(en blanco);0;(en blanco);(en blanco);3,7;56;3,7;112;1,9;;;;;0,00%;
430301;Panecillo Semillas Easy;VIME;127,17655;0;0;(en blanco);0;(en blanco);(en blanco);;;;1;0;;;;;;
430401;Mini Panecillo Easy;VIME;134,85559;0;0;(en blanco);589;03/12/2024;0;115,6;1734;115,6;4.555;75,9;;;;;0,00%;
430621;Pepito Easy;MEC;166,2776;0;0;(en blanco);637;04/12/2024;1177;204,5;3067;204,5;11.082;184,7;3.235;215,7;2.983;198,9;94,80%;7,20%
430702;Panecito Ecológico Easy;MEC;158,42696;0;0;(en blanco);446;04/12/2024;639;121,7;1826;121,7;7.955;132,6;3.640;242,7;2.183;145,5;50,20%;11,10%
430731;Panecito Easy;MEC;158,31932;0;0;(en blanco);45;05/12/2024;641;281,2;4218;281,2;16.137;269;2.357;157,1;1.892;126,1;179,00%;8,30%
431610;Bollito 100% Integral Easy Pack 8 unidades;VIME;136,00086;0;0;(en blanco);10;(en blanco);(en blanco);17,6;264;17,6;906;15,1;177;11,8;181;12,1;149,20%;6,50%
432111;Pepito Sin Sal Añadida Easy;MEC;166,22628;0;0;(en blanco);0;(en blanco);(en blanco);40,3;604;40,3;2.022;33,7;603;40,2;469;31,3;100,20%;8,60%
432211;Pepito con Salvado Easy;MEC;166,21578;0;0;(en blanco);240;04/12/2024;353;32,8;492;32,8;2.179;36,3;767;51,1;721;48,1;64,10%;7,10%
432311;Pepito con Salvado Sin Sal Añadida Easy;MEC;166,21039;0;0;112;0;(en blanco);(en blanco);12,9;193;12,9;746;12,4;215;14,3;221;14,7;89,80%;6,50%
432421;Bollo Easy;MEC;149,60847;0;0;(en blanco);6;(en blanco);(en blanco);27,1;407;27,1;2.150;35,8;634;42,3;526;35,1;64,20%;8,00%
432501;Pan Bocadillo con Salvado Easy;MEC;187,00706;0;0;(en blanco);0;(en blanco);(en blanco);;;;280;4,7;;;;;;
432821;Pan Bocadillo Easy;MEC;169,99643;0;0;(en blanco);0;(en blanco);(en blanco);33,8;507;33,8;3.008;50,1;636;42,4;799;53,3;79,70%;5,30%
432911;Panecito con Salvado Easy;MEC;158,39643;0;0;(en blanco);9;04/12/2024;645;82,5;1238;82,5;4.929;82,2;594;39,6;746;49,7;208,40%;5,30%
433701;Bollito Easy Pack de 8 Uds;VIME;133,91913;0;0;(en blanco);1;03/12/2024;136;6,1;91;6,1;617;10,3;112;7,5;238;15,9;81,30%;3,10%
434011;Panecito Sin Sal Añadida Easy;MEC;158,39017;0;0;(en blanco);0;(en blanco);(en blanco);18,3;275;18,3;941;15,7;279;18,6;295;19,7;98,60%;6,30%
434111;Panecito con Salvado Sin Sal Añadida Easy;MEC;158,40635;0;0;532;0;(en blanco);(en blanco);5,6;84;5,6;269;4,5;168;11,2;100;6,7;50,00%;11,20%
434201;Viena Easy;MEC;185,45964;0;0;(en blanco);27;05/12/2024;381;83,1;1246;83,1;4.272;71,2;940;62,7;851;56,7;132,60%;7,40%
434721;Bollito Easy;VIME;134,85559;0;0;(en blanco);17;04/12/2024;0;59,2;888;59,2;3.067;51,1;785;52,3;767;51,1;113,10%;6,80%
435711;Rombito Integral 100%;VIME;122,40097;0;0;(en blanco);1;(en blanco);(en blanco);3,8;57;3,8;354;5,9;;;;;0,00%;
436001;Rombito Rústico;VIME;267,6923;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;1;0,1;;
436011;Rombito Rústico;VIME;133,84615;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;143;9,5;3;0,2;;317,80%
436701;Mollete Multicereal con Quinoa (3%);MEC;134,87342;0;0;(en blanco);0;(en blanco);(en blanco);2;30;2;124;2,1;;;;;0,00%;
438801;Panecillo con Semillas;VIME;138,83391;0;0;252;61;(en blanco);(en blanco);8,9;133;8,9;444;7,4;;;185;12,3;0,00%;
453211;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;9.632;642,1;7.196;479,7;;8,90%
453233;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);;;;538;9;;;;;;
453241;Panecillo 100% Integral;VIME;113,63273;0;0;586;0;(en blanco);(en blanco);10,5;157;10,5;198;3,3;;;;;0,00%;
453243;Panecillo 100% Integral;VIME;123,95874;0;0;(en blanco);112;02/12/2024;0;27,9;418;27,9;1.373;22,9;;;;;0,00%;
453251;Panecillo 100% Integral;VIME;118,69587;0;0;(en blanco);2268;02/12/2024;2546;614,1;9212;614,1;44.212;736,9;;;;;0,00%;
454001;Panecillo 100% Integral;VIME;98,9047;0;0;(en blanco);0;(en blanco);(en blanco);3,6;54;3,6;271;4,5;60;4;19;1,3;90,00%;21,10%
5718540;Panecillo con  Semillas;VIME;138,85714;0;0;952;2800;29/11/2024;4874;341,7;5125;341,7;17.865;297,8;3.136;209,1;6.384;425,6;163,40%;3,30%
5718619;Pulguita;MEC;160,291;0;0;364;1568;05/12/2024;2116;188,5;2828;188,5;12.574;209,6;;;4.284;285,6;0,00%;
5720811;Baguetina Cereales;VIME;107,09612;0;0;307;4116;29/11/2024;1984;222,2;3333;222,2;7.089;118,2;;;;;0,00%;
604301;Pepito Easy Pack 5 uds;MEC;166,21437;0;0;(en blanco);9;(en blanco);(en blanco);5,1;76;5,1;223;3,7;;;;;0,00%;
Total general;;;;;;;;;;3.193,60;47904;3.193,60;184.276;3.071,30;46.654;3.110,30;46.245;3.083,00;102,70%;6,70%
